盘|pan2
教|jiao4
汜|si4
鹌|an1
捡|jian3
蕐|hua2
骫|wei3
蓫|zhu2
噢|o1
僳|Su4
汴|Bian4
㮸|song4
谆|zhun1
腔|qiang1
跪|gui4
虍|hu1
租|zu1
垡|fa2
鳄|e4
荽|sui1
档|dang4
乶|Fu3
葬|zang4
钆|ga2
萱|xuan1
篮|lan2
聊|liao2
篃|mei4
蒐|sou1
踢|ti1
鼫|shi2
跙|ju3
氪|ke4
瞓|fen4
帽|mao4
帛|bo2
按|an4
驒|tuo2
好|hao4
舍|she4
朐|Qu2
秽|hui4
瞰|kan4
讇|chan3
倬|zhuo1
萅|chun1
裕|yu4
噅|hui1
芤|kou1
须|xu1
霉|mei2
顣|qi1
算|suan4
富|fu4
㕻|pou3
田|tian2
壡|rui4
韖|rou2
轨|gui3
厾|du1
沙|sha1
妥|tuo3
虹|hong2
瘺|lou4
錾|zan4
乼|xx5
茢|lie4
扼|e4
杓|shao2
帖|tie4
怙|hu4
转|zhuan4
溾|wei1
釭|gang1
麮|qu4
矰|zeng1
浒|hu3
窀|zhun1
鸢|yuan1
粮|liang2
蚽|pi2
呏|sheng1
貔|pi2
鳽|yan2
翰|han4
臼|jiu4
纸|zhi3
壴|zhu4
眳|ming2
瘘|lou4
垭|ya1
耆|qi2
癐|gui4
她|ta1
吮|shun3
妍|yan2
钬|huo3
尧|Yao2
晾|liang4
右|you4
允|yun3
疵|ci1
関|guan1
熏|xun1
唻|lai4
眊|mao4
澹|dan4
乖|guai1
嵓|yan2
蹿|cuan1
捂|wu3
沛|pei4
銕|tie3
龆|tiao2
得|dei3
䒗|qi4
嘬|zuo1
仙|xian1
绠|geng3
谂|shen3
槜|zui4
表|biao3
暖|nuan3
晰|xi1
澼|pi4
纻|zhu4
鯆|fu3
蛑|mou2
镢|jue2
墀|chi2
篟|qian4
廓|kuo4
樊|fan2
匐|fu2
憍|jiao1
疾|ji2
潝|xi1
策|ce4
捙|ye4
徭|yao2
弪|jing4
缮|shan4
蕞|zui4
亊|shi4
艑|bian4
焕|huan4
烷|wan2
鎶|ge1
儽|lei3
僵|jiang1
钦|qin1
蜾|guo3
儇|xuan1
㦂|chang2
樕|su4
覰|qu4
饇|yu4
湃|pai4
豷|yi4
満|man3
彀|gou4
趡|cui3
雕|diao1
馍|mo2
牸|zi4
皪|li4
獗|jue2
震|zhen4
弣|fu3
匹|pi3
皦|jiao3
诐|bi4
楍|ben3
僇|lu4
乊|xx5
輴|chun1
霺|wei1
欧|ou1
擖|ge3
撸|lu1
孟|meng4
艭|shuang1
迥|jiong3
眠|mian2
飏|yang2
圐|ku1
瓬|fang3
繁|fan2
瑀|yu3
婺|wu4
飬|yang3
锋|feng1
撃|ji1
碬|xia2
茭|jiao1
鎤|huang3
鼄|zhu1
绅|shen1
缋|hui4
媭|xu1
鲰|zou1
隈|wei1
齈|nong2
燮|xie4
魸|pian4
黄|huang2
祃|ma4
津|jin1
鷩|bi4
瞽|gu3
旭|xu4
唁|yan4
噭|jiao4
洽|qia4
梸|li2
僿|sai4
徙|xi3
脧|juan1
砕|sui4
磲|qu2
袮|mi5
庠|xiang2
钼|mu4
龤|xie2
浏|liu2
伣|qian4
镜|jing4
淆|xiao2
燔|fan2
诛|zhu1
广|guang3
真|zhen1
罛|gu1
煚|jiong3
