繄|yi1
雍|yong1
醅|pei1
潔|jie2
耆|qi2
蓰|xi3
稈|gan3
蓴|chun2
爗|ye4
甴|zha2
紫|zi3
膃|wa4
酐|gan1
聱|ao2
昂|ang2
涪|Fu2
礤|ca3
濲|gu3
牎|chuang1
茖|ge2
倵|wu3
丫|ya1
史|shi3
環|huan2
姣|jiao1
彽|chi2
疑|yi2
遼|Liao2
勤|qin2
銘|ming2
隹|zhui1
纇|lei4
蕨|jue2
摜|guan4
洨|Xiao2
俶|chu4
垌|dong4
屎|shi3
鞵|xie2
修|xiu1
睞|lai4
鱺|li2
澮|kuai4
摃|gang1
浸|jin4
芩|qin2
足|zu2
塵|chen2
瀧|long2
啾|jiu1
戕|qiang1
沕|wu4
鱎|jiao3
瞇|mi1
磖|la2
蝓|yu2
厎|zhi3
陳|chen2
逗|dou4
鯥|lu4
喟|kui4
捻|nian3
勩|yi4
㷖|zhao4
詑|tuo2
齙|bao1
鼾|han1
歕|pen1
倒|dao4
漁|yu2
駟|si4
功|gong1
齠|tiao2
夸|kua1
橋|qiao2
蒹|jian1
甮|beng2
薹|tai2
偟|huang2
轘|huan4
凱|kai3
堋|peng2
媠|tuo2
錘|chui2
掖|ye4
紙|zhi3
懟|dui4
縕|yun4
謆|shan4
黃|huang2
刾|ci4
凔|cang1
碎|sui4
滻|chan3
謠|yao2
郪|qi1
櫧|zhu1
堎|ling2
輠|guo3
艙|cang1
甘|gan1
鼚|chang1
噩|e4
窮|qiong2
謳|ou1
貉|mo4
謡|yao2
牾|wu3
辤|ci2
昴|mao3
黁|nun2
緌|rui2
嶁|lou3
蜍|chu2
摮|ao2
尚|shang4
犫|chou1
靣|mian4
鴷|lie4
溺|niao4
騂|xing1
役|yi4
益|yi4
嫩|nen4
嵌|qian4
漠|mo4
泳|yong3
喼|jie2
嘽|tan1
穆|mu4
摟|lou3
徳|de2
笞|chi1
鸏|meng2
乕|hu3
罘|fu2
腜|mei2
弮|quan1
鏰|beng4
悸|ji4
僖|xi1
偁|cheng1
茨|ci2
玲|ling2
覰|qu4
綀|shu1
郞|lang2
牳|mu3
槤|lian2
糨|jiang4
霸|ba4
準|zhun3
岧|tiao2
煲|bao1
寳|bao3
怕|pa4
樠|men2
鼱|jing1
矽|xi1
餛|hun2
襶|dai4
牙|ya2
染|ran3
螻|lou2
咪|mi1
嫰|nen4
頭|tou5
奫|yun1
淩|ling2
芮|rui4
颱|tai2
堊|e4
鄉|xiang1
銫|se4
匱|kui4
碇|ding4
紿|dai4
冏|jiong3
鱝|fen4
邇|er3
瘟|wen1
栒|xun2
庫|ku4
馗|kui2
稲|dao4
欱|he1
鮃|ping2
碬|xia2
窯|yao2
粨|bai3 mi3
韻|yun4
丑|chou3
棶|lai2
樸|pu3
讃|zan4
妻|qi4
儘|jin3
膩|ni4
贕|du2
樲|er4
尙|shang4
籛|Jian1
模|mu2
宧|yi2
倦|juan4
胷|xiong1
轡|pei4
柺|guai3
馹|ri4
蝠|fu2
痐|hui2
愕|e4
名|ming2
盱|xu1
鏌|mo4
粱|liang2
驦|shuang1
赭|zhe3
儇|xuan1
挫|cuo4
証|zheng4
喀|ka1
思|si1
橐|tuo2
隙|xi4
儲|chu3
婤|zhou1
槭|qi4
蹂|rou2
簞|dan1
羭|yu2
莒|ju3
鴕|tuo2
捷|jie2
佱|fa3
盭|li4
硯|yan4
巨|ju4
狄|di2
鞀|tao2
揘|huang2
啊|a5
笪|da2
吝|lin4
髆|bo2
拚|pin1
櫸|ju3
衺|xie2
劫|jie2
隧|sui4
巠|jing1
澉|gan3
逝|shi4
牐|zha2
煬|yang2
韹|huang2
仇|qiu2
葹|shi1
蚆|ba1
綷|cui4
